,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,20001116,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,12:11 PM
1,0,10,1,20001116,Jump Ball Grant vs. Mutombo: Tip to Hill,,12:00,1,4,5,5,258,Brian Grant,MIA,Miami,1610612748,Heat,87,Dikembe Mutombo,PHI,Philadelphia,1610612755,76ers,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,,,,12:12 PM
2,1,1,2,20001116,,,11:45,1,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,Feb-00,-2,Iverson 21' Jump Shot (2 PTS),12:13 PM
3,1,6,3,20001116,,,11:28,1,5,0,1,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Hill P.FOUL (P1.T1),12:13 PM
4,1,1,4,20001116,Mason 17' Jump Shot (2 PTS),,11:19,1,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,2-Feb,TIE,,12:13 PM
5,1,2,5,20001116,,,10:56,1,5,0,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Lynch 22' Jump Shot,12:14 PM
6,0,4,6,20001116,Mason REBOUND (Off:0 Def:1),,10:54,1,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,12:14 PM
7,42,2,7,20001116,MISS Majerle  Driving Layup,,10:49,1,4,0,0,105,Dan Majerle,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,12:14 PM
8,0,4,8,20001116,,,10:47,1,5,0,0,727,Eric Snow,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Snow REBOUND (Off:0 Def:1),12:14 PM
9,5,1,9,20001116,,,10:44,1,5,5,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,727,Eric Snow,PHI,Philadelphia,1610612755,76ers,0,,,,,,2-Apr,-2,Lynch  Layup (2 PTS) (Snow 1 AST),12:14 PM
10,2,6,10,20001116,Hardaway S.FOUL (P1.T1),,10:44,1,4,0,1,896,Tim Hardaway,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,12:14 PM
11,10,3,11,20001116,,,10:44,1,5,0,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Lynch Free Throw 1 of 1,12:14 PM
